,symbol,alpha,beta
0,AAF,0.0008971236711478206,0.1587564873070956
1,AAIC,-0.0026658000207199013,0.654950350512095
2,ABAN,0.008363282921217909,1.633533104222548
3,ABL,0.0024952203054546184,0.5846396707611727
4,ACAP,0.003095836650480703,1.4010494880242441
5,ACL,0.0009095034847039196,0.7705245074537723
6,ACME,0.002029840086806241,0.6282590908589215
7,AEL,0.0003558471495637611,0.6692980231993624
8,AFS,0.008476272706984029,-0.11636590913315412
9,AFSL,-0.0007957521111339055,1.4992594325993946
10,AGAL,-0.0013165532095427558,0.22122540689407127
11,AGPL,0.0005585992061178971,0.24995114937265875
12,AGST,0.04292908045601146,-9.887604560166695
13,AHPL,-0.0035946869661421083,1.0329494305437947
14,AHUN,0.0031763955432477543,0.6500949131826943
15,AINS,0.0005167621067339408,0.31960349912358493
16,ALLI,-0.0016510891496413363,0.914113502694768
17,ALUM,-0.0018781866718759225,1.2024579387910088
18,AMF,0.0024018062860564934,0.5644188305178892
19,AMSL,-0.00145319564923332,1.2028051877880046
20,APLA,0.006499562275901108,2.0483633652807423
21,ASCO,0.005682802667177595,0.179612194014664
22,ASHO,0.0014382812468716748,1.33104273995141
23,ASIR,-0.0022512963404342696,0.6938976933115448
24,ASIY,0.0011958481110326,1.9801368607071232
25,ASPH,0.007250127692521039,0.35987013861984085
26,ATL,0.0027900720750716535,2.5930425681494893
27,ATLL,0.0012834239530759419,1.4680480686253266
28,AUTO,0.005814919237371679,0.2449052836282887
29,BALA,-0.0011932401990204149,0.5423662892822539
30,BBH,-0.00024984418875323124,1.4106244930225744
31,BERU,-0.00039555251979055426,0.32599856941179617
32,BFL,0.006122235857551783,1.0706311154016812
33,BFN,-0.003671457919161439,1.5900139722790212
34,BIL,-0.0023864193995428076,0.44182228152471237
35,BOGA,0.006597804083267966,2.469514358670811
36,BPPL,-0.000160476102984157,0.4226534978516393
37,BREW,-0.0017423162721215287,0.7945974908128349
38,BRR,2.955783977485867e-05,0.26538994142341077
39,BRWN,-0.002685094370390215,0.756354248416487
40,BUKI,0.0006372153695864245,1.670327191527691
41,CABO,0.0010236637395715656,1.3466981763007129
42,CALF,0.00792002043145234,-0.10393312090596188
43,CALH,-0.0017273347237600936,0.7528145439168357
44,CALT,-0.0028065579995330387,1.329102949965349
45,CARE,-0.0006988834887935127,0.4249367591777454
46,CARG,0.002325690957320543,0.8269907617127722
47,CARS,0.002968400675903792,1.5352757578364702
48,CBNK,0.0005543660285283844,0.5521086223612138
49,CCS,4.2293029114619085e-05,0.2943164154797004
50,CDB,0.010893724534784118,16.095632338471145
51,CERA,-0.0005127404687715588,0.2729266045199697
52,CFI,0.005448032234127672,0.8083552899259671
53,CFIN,-0.0020010523267166482,0.7328959485231218
54,CFLB,2.6680744858743673e-05,0.37896934224101697
55,CFVF,0.0011809913063953793,2.351053148044667
56,CHL,0.03871080528714281,-10.73633474163232
57,CHMX,-0.0008460288945903932,0.884822881262773
58,CHOT,0.005137253625441328,1.1847450136722089
59,CIC,0.08492920444080712,-16.962318120238237
60,CIND,0.0011560653162425837,0.8336451452769268
61,CINS,0.2045181244559804,-38.51991776127095
62,CINV,-0.00124970265319895,1.8745922233434547
63,CIT,0.0057812655585395304,1.3324965741514387
64,CITH,-0.0004761126317453529,1.0066731903031128
65,CLND,0.005068206304771502,0.7151256883700255
66,COCO,0.018537250245486497,15.779955498233894
67,COCR,0.00046045030732655645,1.39890307262488
68,COLO,0.10376282242479046,6.001037168287372
69,COMB,-0.00039547013345309746,9.351193192314097
70,COMD,0.0016394612307219544,-0.1868634658142058
71,CONN,0.0024041573877586846,0.8958075989761737
72,COOP,0.0001790096329259888,0.7086469776082951
73,CPRT,0.0036292588557267046,4.0251991398022176
74,CRL,-0.0007175173172169337,0.004992897119834908
75,CSD,-0.0008629018039990226,0.7086767500613738
76,CSLK,-0.0029113580725411694,1.0654176529100399
77,CTBL,0.005158612261759701,-0.5289210901051793
78,CTC,0.0005720952343463554,0.4127729698153232
79,CTEA,0.0006196327481087214,-0.3043935705440069
80,CTHR,-0.00021694316392281495,1.1228520221373666
81,CTLD,-0.0008440912252308771,2.0839638853424454
82,CWL,0.003866390362634455,0.12506092539116118
83,CWM,0.0007995157034599549,0.24040385680066517
84,DFCC,-0.001774168093699657,1.788822119108932
85,DIAL,0.004054806246953942,0.9389295427165473
86,DIMO,0.004247404634266497,1.6623085563892785
87,DIPD,-0.0022094948487887916,1.3738304823305731
88,DIST,0.001967877546021158,1.0841468932995697
89,DOCK,0.024172204312434567,-1.5189990660175514
90,DPL,-0.0038693776582545444,0.6968682126914808
91,EAST,0.0024246837662302506,1.5046549741423956
92,EBCR,0.0009721273626050102,0.15977247759160215
93,ECL,0.002083731719685423,0.7263617388100186
94,EDEN,-0.0013269864131110235,0.5444072909400818
95,ELPL,0.0005681540072694772,0.9161595022729758
96,EMER,0.0014596773526608456,0.916764247940198
97,EML,0.0013720760402578555,0.1633697441428352
98,ETWO,0.0063199122736172725,1.1996790601899854
99,EXT,0.0019865375557287317,1.4339797688112488
100,FCT,-2.35777032801474e-05,1.9155155897826668
101,GEST,-0.0013345266326108597,0.48775007003185333
102,GHLL,-0.0006905544799045265,0.6931676880146581
103,GLAS,2.6973006951300305e-05,0.34032478791563997
104,GRAN,-5.379146362265926e-05,1.1472245774245768
105,GREG,0.0047789811911148755,1.2157328671274108
106,GUAR,0.0013610930572676868,1.4949264389015
107,HAPU,0.0024628091954306337,0.8089144657924054
108,HARI,0.002841748747784986,3.4037145010491856
109,HASU,-0.0010420649872507832,0.8804987044450006
110,HAYC,4.4137764601080395e-05,0.794479123112513
111,HAYL,-0.0003979312367704828,0.7166509582524194
112,HBS,0.003277332952434084,0.8182586849147957
113,HDFC,0.004005208535557722,0.5710815495384874
114,HELA,-0.0021584902839455952,0.8926518520680354
115,HEXP,0.0021985041426603315,2.2909741680177667
116,HHL,0.0011711689384411182,0.31258186424640055
117,HNB,0.013440606300702103,17.164575122670428
118,HNBF,0.005348870151412786,0.6986126823034826
119,HOPL,-0.0010683409994837912,0.08381141040259388
120,HPFL,-0.0006271414864819233,0.9715822855497163
121,HPL,-0.0007446735543017324,0.26190634962468196
122,HPWR,0.0057099448232562425,-0.11514249922710382
123,HSIG,0.001411222172782016,1.2203374594339158
124,HUNA,0.001043686756473896,1.0168535389654896
125,HUNT,0.005564411541073847,2.3494410954596354
126,HVA,0.0020413881074742807,0.4604828836927782
127,JAT,0.0009547517813615662,1.2715811241529051
128,JETS,0.0008257175639670079,1.8046578408707452
129,JINS,0.00405547779800042,2.602935409017895
130,JKH,-0.0027042938853017156,0.9567275018555174
131,JKL,-0.0011263151438584338,0.46840162176243727
132,KAHA,-0.00161787121522972,0.9253168738804506
133,KCAB,0.0020986729913991756,1.5994755137577066
134,KFP,-0.00044037387867790787,-0.020098670098466276
135,KGAL,-0.0012369709683145282,0.6339246938254959
136,KHC,0.004426646910333114,1.504049978977272
137,KHL,0.0004923215959227315,0.680557903436878
138,KOTA,0.0004993324799643481,0.6991892103864137
139,KPHL,0.0037036979696680864,-0.09164721439296376
140,KVAL,-0.0012485639112214972,0.5878490206052586
141,KZOO,0.0008417453079764391,1.0389215907862734
142,LALU,-0.0019288985861503577,0.475514016985529
143,LAMB,0.010711610870139318,2.0477965244276364
144,LCBF,0.007005722366186233,1.1425448304207635
145,LCEY,0.0006485503447631966,0.5169611413617832
146,LDEV,-0.0009129867047567621,0.5562906655799018
147,LFIN,-0.0004809486687268746,1.0273762378127091
148,LGIL,-0.001621855894553588,0.8766146382116161
149,LGL,0.06335026917498243,27.338507052389136
150,LHCL,0.004026709132305889,0.031699418159159
151,LHL,-0.0029815559700691096,1.0722971232319987
152,LIOC,-0.0007319332628035521,0.09351646453091476
153,LION,0.0005566604438837331,1.2172811891474278
154,LITE,0.009184249515085934,0.28885948170203846
155,LLUB,0.0002792422475513488,0.47756443415728683
156,LMF,0.000702537206438225,1.0688844731878704
157,LOFC,-0.00012377813271417302,0.5913775474921205
158,LOLC,-0.0005675087153534664,0.3505710551317742
159,LPL,0.031224242064522564,18.973149893691982
160,LPRT,0.0070152785270819005,0.5827309577935038
161,LUMX,0.0018663991788561568,-0.7103068189385539
162,LVEF,0.002326066226335418,1.1894639192693155
163,LVEN,0.0008571987111850148,0.7064161558171916
164,LWL,-0.0021175096994906725,0.8656628304073001
165,MADU,-0.0013414799744988562,0.6628275899582643
166,MAL,0.04181259928870047,19.85623566038667
167,MASK,-0.0014836500145705988,0.4778638998059696
168,MBSL,0.0054856664815676175,0.8640138676486997
169,MCPL,0.0026422026359239157,0.7142415916114004
170,MDL,0.01500345060703866,-1.2036183982373765
171,MEL,0.003580284269675383,1.580546916711498
172,MELS,-2.8638214064691763e-05,0.8796704358926067
173,MFPE,0.004617876995490709,-0.3645512261662838
174,MGT,-0.002614821269465262,0.8428398928422728
175,MHDL,-0.0016515503838387998,0.5175847912237199
176,MRH,-0.0030823183331407686,1.5988665517871041
177,MSL,0.008841285227863266,1.2416288301674236
178,MULL,-0.0017012606457721682,3.4488704329774436
179,NAMU,0.0025766143012403205,0.9256291818160637
180,NDB,-0.0017887121529813659,1.5032705533442603
181,NEH,0.003440444313411753,2.012883610895768
182,NHL,0.002830058480346469,2.2826510050782494
183,NTB,0.030813378202590346,-9.166620563609232
184,ODEL,-0.0013568226460766682,0.2865481500505065
185,OFEQ,0.006888002844471553,0.010814679402379101
186,ONAL,0.004336783938174741,-0.2696908542748953
187,OSEA,0.00014293916094642253,0.8557424297011412
188,PABC,-0.0007863211157083338,1.42998669892535
189,PACK,-0.0014950384012737345,0.4243427250884792
190,PALM,-0.0031022505874832426,1.242524546107568
191,PAP,0.002141177283990928,1.500706889710407
192,PARA,0.013483234790243439,-0.9387600966995437
193,PARQ,-0.0031528428218490384,1.1620105304898776
194,PEG,0.003748704913949231,-0.004907660420285142
195,PHAR,0.0034533908917159213,2.8643806958124225
196,PINS,-0.0015761297869312982,0.8666438480841041
197,PKME,0.007733613306711445,0.2113298540002292
198,PLC,0.0004325335037992553,0.8725494584167282
199,PLR,0.0063320908889372175,0.9354527691727811
200,PMB,0.0002252469740284925,1.4252459290607464
201,RAL,0.0072963937834854475,2.317875647236147
202,RCH,0.0005786515518229274,0.7180353326879575
203,RCL,-0.0011447031285790072,0.8617261817160357
204,REEF,-0.00047681727335314143,0.9629970539349457
205,RENU,0.00026416350080271677,0.665274443464448
206,REXP,0.0012670640427769333,0.10422341998405336
207,RFL,0.0024997978338383593,0.07358280397655122
208,RGEM,4.8139707097613474e-05,3.436037999741175
209,RHL,0.009542053463511904,17.356326766152094
210,RHTL,-0.003351150546631223,1.85241570954108
211,RICH,0.005696436217463822,0.6803236665235262
212,RIL,-0.0008571788857346344,1.6515708343279045
213,RPBH,-0.005140176047845909,1.3653343503706505
214,RWSL,0.007171925504444554,1.6175382954115856
215,SAMP,-0.001691824787069303,1.1450739227723152
216,SCAP,-0.002858798831466922,0.8107702082283972
217,SDB,0.0047962974602320805,0.8822909684893067
218,SDF,0.0031736766211486753,1.1446053656940067
219,SEMB,0.31201392572912473,60.95524157202089
220,SERV,0.0008176375935933734,1.4328430029192674
221,SEYB,0.033065396677116866,23.338282960196004
222,SFCL,0.006560656065814289,3.6529272116438576
223,SFIN,0.0009409343566643497,2.2737771481757565
224,SHAW,0.004148796735496886,0.2632226996337327
225,SHL,-0.0025244331612203907,0.4111255075360059
226,SHOT,0.0891538003135435,36.41869323569174
227,SIGV,0.003249576929634159,-0.0224129861761122
228,SIL,0.010590633995627192,1.17344946422602
229,SING,-0.0026318047248084495,1.706672160168103
230,SINH,0.003102869016929575,0.5156872229097376
231,SINS,0.0018736287775048155,1.4117824805264194
232,SIRA,0.006179311841503601,1.5989440900322651
233,SLND,0.0069974277926783315,0.41484002229513506
234,SLTL,0.0020596055314894596,1.1980339079530078
235,SMOT,0.009600962825472228,0.2743594318334116
236,SPEN,0.0005180590069524017,0.6273756271795189
237,STAF,-0.0008773048918842912,2.481050055870078
238,SUN,0.0020852170475921597,0.3953854135773674
239,TAFL,-0.0020024382956655073,0.49222615754638016
240,TAJ,0.001315682459839525,1.4499464554860997
241,TANG,0.00022695418584606214,0.6142166963250535
242,TESS,0.01988856363822838,21.747668016286834
243,TILE,-0.001670354246955811,0.328720919046694
244,TJL,-0.0035489761433155583,0.4223550250521325
245,TKYO,0.0027120344088397094,11.79977652021183
246,TPL,-0.0009673961335990993,0.5718675663809509
247,TRAN,0.000768915049691606,0.9254556932611887
248,TSML,0.00022683277509206383,1.292915773816363
249,TYRE,-0.0019535669057568384,0.13851917269414524
250,UAL,0.00017538813046014893,0.43017269262540847
251,UBC,0.0016093244037299638,1.3657998562629985
252,UBF,0.012295619571309995,1.8359281947973185
253,UCAR,0.006343074611842876,0.30444389350076817
254,UDPL,-0.0003966078788159116,1.627773674669349
255,UML,0.002737820686431392,1.4427417300347158
256,VFIN,-0.003190588642971572,1.3279424629628194
257,VLL,0.010812087326544775,9.423014524347595
258,VONE,-9.646577781814402e-05,0.857994899956776
259,VPEL,-0.0006939554651597817,1.1242728286793637
260,WAPO,0.002327696067376816,2.1094951111376528
