Metric,Pre-Event Mean,Post-Event Mean,T-Statistic,P-Value,Significance_at_5%
Volatility (Mean Spread),2.2194238875875696,2.619729795912694,-2.3967454856673354,0.023027952837774035,True
Liquidity (Total Volume),150762796.96812987,80466723.34209985,6.877335690408466,1.372046620459902e-08,True
