symbol,sector,alpha,beta,n_obs,"CAR(-5,-1)","CAR(0,0)","CAR(0,+5)","CAR(-5,+30)"
CONN.N0000,Consumer Services,0.001714,0.7166,115,0.5331,-1.9447,-7.9498,-18.3147
HSIG.N0000,Consumer Services,0.001025,1.1229,115,-1.5861,-0.5897,-6.38,-14.2808
JETS.N0000,Consumer Services,0.002567,1.205,115,11.6479,-0.0698,-9.0943,-13.8057
SIGV.N0000,Consumer Services,0.002927,0.9453,114,-4.8844,1.7066,-2.4343,-10.7383
KHL.N0000,Consumer Services,0.000104,0.5986,115,2.8179,-3.7734,-13.4159,-10.2889
STAF.N0000,Consumer Services,-0.000671,1.6546,115,4.3669,-2.6289,-6.177,-9.3939
AHUN.N0000,Consumer Services,0.00245,0.4191,115,-2.0575,-1.2084,-8.491,-7.5423
SERV.N0000,Consumer Services,0.002206,1.0521,115,8.1829,-2.291,-7.6336,-7.0443
SHOT.X0000,Consumer Services,-0.000171,1.0177,115,2.1801,-0.8601,-6.929,-6.7
REEF.N0000,Consumer Services,0.000572,0.3827,115,2.7203,-0.1428,-7.1691,-4.1147
EDEN.N0000,Consumer Services,-0.001347,0.5992,115,1.8627,0.0006,-1.2948,-2.867
BERU.N0000,Consumer Services,-8.6e-05,0.5858,115,3.7941,-0.1226,-2.0998,-2.8616
GHLL.N0000,Consumer Services,-0.000609,0.7948,115,0.8567,1.9882,0.0,-2.5702
RHTL.N0000,Consumer Services,-0.001873,1.4569,115,-3.4353,-2.0996,-3.503,-2.1272
AHPL.N0000,Consumer Services,0.000177,0.4267,115,-2.3851,3.157,-3.1401,-1.7708
SHOT.N0000,Consumer Services,-0.002141,1.1368,114,8.5821,-0.0404,-9.6961,1.0381
CITH.N0000,Consumer Services,0.000659,0.6109,115,11.6256,-2.5282,-9.3841,1.2836
BFN.N0000,Diversified Financials,0.004429,1.066,115,-4.5899,-3.1206,0.8236,-25.5667
LVEN.N0000,Diversified Financials,0.003437,1.2139,115,-6.5749,-3.6625,-3.7978,-24.1807
AMF.N0000,Diversified Financials,0.00358,0.568,115,0.0054,0.3096,-7.8974,-22.9232
WAPO.N0000,Diversified Financials,0.001902,2.0645,115,-9.7984,2.4508,-2.8246,-20.338
MBSL.N0000,Diversified Financials,0.003273,0.8386,115,-6.3329,-3.015,-13.0443,-19.7511
SDF.N0000,Diversified Financials,0.001183,1.407,115,0.9973,-0.646,-7.3568,-15.4307
PLC.N0000,Diversified Financials,0.001483,0.9529,115,-1.045,-0.3616,-5.9317,-15.2515
PMB.N0000,Diversified Financials,0.000483,0.9185,115,0.3988,1.7869,-7.9659,-13.9302
ALLI.N0000,Diversified Financials,0.00162,1.2493,115,0.8432,-2.2049,-3.2473,-13.8229
GUAR.N0000,Diversified Financials,0.001587,1.2711,115,-0.2003,-3.6412,-6.7402,-13.7691
CINV.N0000,Diversified Financials,3.8e-05,1.8755,115,-2.966,1.1148,-1.2628,-11.2041
SFIN.N0000,Diversified Financials,0.002935,1.8277,115,2.6449,-0.8604,-9.2984,-10.8568
COCR.N0000,Diversified Financials,0.001309,1.2258,115,-2.0378,0.1716,-4.3418,-9.1188
VFIN.N0000,Diversified Financials,0.000132,1.2156,115,-0.8587,0.8641,-4.3934,-8.7065
HNBF.X0000,Diversified Financials,-0.000457,2.368,115,1.139,0.7656,4.0587,-7.2962
CFIN.N0000,Diversified Financials,-0.000322,1.1624,115,-1.1622,0.5532,0.7278,-5.5504
HNBF.N0000,Diversified Financials,0.000145,2.1863,115,0.5177,-0.504,2.94,-5.5141
KZOO.N0000,Diversified Financials,-0.001539,1.6511,115,-2.3723,-1.0422,-3.0789,-4.3872
LCBF.N0000,Diversified Financials,0.003,2.0068,115,-2.318,-3.1883,-0.7636,-1.9308
LOFC.N0000,Diversified Financials,-0.001343,0.7147,115,-1.0582,-1.6386,-4.0602,-1.1213
CFVF.N0000,Diversified Financials,0.001573,1.2127,115,0.5292,-0.4288,0.6335,-0.6561
ACAP.N0000,Diversified Financials,0.002133,1.0089,112,-0.4716,-0.4391,0.529,-0.6258
LFIN.N0000,Diversified Financials,0.000218,1.2292,115,0.0289,-0.297,-4.4957,-0.1817
CRL.N0000,Diversified Financials,-0.001379,0.5365,115,1.7527,0.0178,-7.7724,4.5594
ASIY.N0000,Diversified Financials,0.000392,1.5118,115,0.8653,-0.3776,1.046,10.1389
LOLC.N0000,Diversified Financials,-0.002919,0.7659,115,2.2169,1.8477,3.776,11.803
FCT.N0000,Diversified Financials,0.000737,0.9675,115,1.1757,-0.9313,1.9296,12.7956
CALT.N0000,Diversified Financials,-0.002259,0.9105,115,2.1313,0.0221,1.0245,14.1768
CALH.N0000,Diversified Financials,-0.001659,0.5832,115,0.7427,1.8759,1.3889,15.2772
LGL.X0000,Energy,0.011194,-0.0908,115,-10.8641,-2.9172,-14.3146,-37.9422
LGL.N0000,Energy,0.008476,0.3621,115,-7.8602,-0.6284,-12.0938,-27.5044
LIOC.N0000,Energy,-0.00086,0.1477,115,0.1551,0.053,-2.0444,11.668
RWSL.N0000,Food & Beverage,0.003779,1.4532,115,-1.4982,-2.8614,-10.2636,-28.0387
BFL.N0000,Food & Beverage,0.005996,1.0569,115,-3.8479,-0.6074,-13.608,-17.5484
HOPL.N0000,Food & Beverage,0.00059,0.7752,113,1.2779,-4.3004,-3.5623,-15.7028
BALA.N0000,Food & Beverage,-0.002229,0.92,115,-0.6905,-0.983,-2.212,-11.8844
TSML.N0000,Food & Beverage,0.000323,1.1079,115,-3.9962,-0.2803,-4.1148,-11.6865
MASK.N0000,Food & Beverage,-0.001047,0.6429,115,-2.2775,4.6391,-1.9202,-8.9224
TPL.N0000,Food & Beverage,3.4e-05,0.3611,115,0.057,0.3875,-8.6079,-7.3814
SUN.N0000,Food & Beverage,0.00167,0.6326,115,-1.2568,-0.0171,-6.5267,-5.7696
ELPL.N0000,Food & Beverage,0.001387,0.7074,115,-4.4135,1.4574,-5.3872,-5.0288
KOTA.N0000,Food & Beverage,-0.000942,0.8131,115,4.0566,-1.9746,-4.0576,-3.957
DIST.N0000,Food & Beverage,0.000176,1.1584,115,0.2955,1.0346,-4.7102,-3.8728
MELS.N0000,Food & Beverage,-0.000182,0.845,115,1.178,0.3755,-1.0121,-3.6082
HPL.N0000,Food & Beverage,0.000217,0.1352,115,-3.0251,-0.052,-13.5472,-2.1046
AGAL.N0000,Food & Beverage,-0.001798,1.0756,115,1.8795,0.2911,-4.6961,-1.9167
LMF.N0000,Food & Beverage,-0.000462,1.3606,115,2.0011,-0.4025,-0.935,-1.5182
KVAL.N0000,Food & Beverage,-0.001449,0.8544,115,1.4923,-0.3652,-1.6361,0.0127
AGPL.N0000,Food & Beverage,-0.001152,0.4891,115,2.0585,-4.4498,-3.6341,1.3032
LDEV.N0000,Food & Beverage,-0.002893,1.2343,115,3.4246,2.0963,-1.1946,1.4268
KAHA.N0000,Food & Beverage,-0.001867,0.6084,115,3.0795,0.0,-4.236,1.6937
MCPL.N0000,Food & Beverage,0.001622,0.5445,115,-2.7095,-0.6762,-6.2012,2.0767
MADU.N0000,Food & Beverage,-0.000671,0.2997,115,4.5091,-2.439,-4.7752,2.5194
CCS.N0000,Food & Beverage,-0.001462,0.8186,115,0.5455,-0.9299,-1.6405,3.2146
HVA.N0000,Food & Beverage,-0.001139,0.3986,115,4.5126,-2.607,-7.7558,7.8365
BIL.N0000,Food & Beverage,-0.00316,0.6918,115,3.1607,1.6104,-0.6208,10.1792
GRAN.N0000,Food & Beverage,0.001349,1.528,115,-0.884,0.0231,1.548,12.8514
MFPE.N0000,Food & Beverage,-2.3e-05,1.0428,115,1.2248,-1.0645,2.5222,14.6892
TAFL.N0000,Food & Beverage,0.001343,1.7886,115,2.1548,-0.5347,2.0805,17.9959
NAMU.N0000,Food & Beverage,0.002509,0.5559,114,-0.1397,-0.4178,10.8668,27.1876
COCO.N0000,Food & Beverage,0.006353,1.6801,115,5.4715,-0.7669,-2.2726,30.5549
RAL.N0000,Food & Beverage,0.003658,1.7555,115,11.0507,3.5891,4.304,34.6584
COCO.X0000,Food & Beverage,0.006363,1.193,112,0.9043,-1.8711,-3.0514,40.9749
LHCL.N0000,Healthcare Equipment,0.00251,0.1992,115,-5.264,-2.1648,-3.4472,-13.3615
NHL.N0000,Healthcare Equipment,0.001848,1.6082,115,-1.4062,2.2853,4.7154,-8.5463
CHL.N0000,Healthcare Equipment,0.005072,0.8971,115,-3.0738,-3.1828,0.6773,-6.5236
ASIR.N0000,Healthcare Equipment,-0.000386,1.0315,115,0.9538,-1.4581,-1.2476,-3.5397
AMSL.N0000,Healthcare Equipment,-0.000712,0.9842,115,-0.5947,1.3107,1.7895,0.6328
ECL.N0000,Healthcare Equipment,0.000669,0.7281,115,3.2358,2.2091,-2.1737,5.8864
SINH.N0000,Healthcare Equipment,-0.000591,1.7715,115,0.7604,2.7554,4.6888,20.4288
BPPL.N0000,Household Products,6.2e-05,0.5108,115,0.4768,-0.1205,-1.8876,-4.3551
JINS.N0000,Insurance,0.002925,1.4404,115,-2.0153,-1.2999,-13.1779,-22.8608
ATL.N0000,Insurance,0.002496,1.648,115,-1.5751,0.8308,-4.8424,-21.3197
COOP.N0000,Insurance,0.00162,1.0989,115,-0.7445,-0.408,-13.2195,-19.3625
PINS.N0000,Insurance,-0.00136,1.1852,114,5.2,-6.0572,-15.3279,-13.9311
HASU.N0000,Insurance,0.00045,0.8931,115,-0.4459,1.9872,-7.0679,-12.2297
SCAP.N0000,Insurance,-0.001325,0.755,115,-4.9379,3.7371,0.7384,-9.6591
LGIL.N0000,Insurance,-0.002508,1.1712,115,0.2264,-1.135,-2.1595,-4.559
UAL.N0000,Insurance,0.000104,1.079,115,-1.6908,0.8946,-1.8043,-3.7464
AAIC.N0000,Insurance,-0.001283,1.0251,115,0.6474,0.5664,-0.6925,-0.9895
JAT.N0000,Materials,0.000472,0.997,115,-2.1792,0.3546,3.0474,-9.3012
BOGA.N0000,Materials,0.005646,1.3844,115,-6.0409,-0.8745,-2.4562,-6.3228
APLA.N0000,Materials,0.004666,1.1697,115,-0.0277,0.4749,2.3334,-5.5328
GLAS.N0000,Materials,-0.000627,0.7796,115,0.0871,1.6426,0.7397,-5.3595
PACK.N0000,Materials,-0.001105,0.5946,115,-1.0145,-2.1205,0.0526,-2.8796
CIC.X0000,Materials,0.001575,1.2637,109,-1.1705,0.2922,-1.9445,-1.7322
CHMX.N0000,Materials,-0.000142,0.8405,115,-4.1188,-0.1739,2.3096,1.1854
AGST.N0000,Materials,-0.000485,0.7991,115,-2.3408,3.203,0.926,1.4836
LLUB.N0000,Materials,-0.000305,0.6201,115,0.5289,-0.3815,0.0889,2.447
DIPD.N0000,Materials,-0.002757,1.6862,115,4.6268,0.5281,3.109,3.2852
PARQ.N0000,Materials,-0.002389,2.0428,115,1.208,-1.1486,14.1504,4.9187
CIC.N0000,Materials,0.000785,1.0327,110,-1.3162,1.1963,0.8243,6.5567
LALU.N0000,Materials,-0.001599,1.4396,115,2.5203,-1.2376,9.0157,9.4836
ALUM.N0000,Materials,-0.001247,1.1569,115,1.3253,-0.1343,8.3573,11.2726
HAYC.N0000,Materials,-0.000257,0.8042,115,2.4028,0.0772,-1.1347,17.1655
TKYO.N0000,Materials,-0.000699,0.9031,115,2.7692,1.7566,17.5782,24.0133
TKYO.X0000,Materials,-0.001064,1.0136,115,0.0783,-1.4811,14.1018,24.3693
ETWO.N0000,Real Estate,0.006142,0.5433,114,-8.3863,3.963,-4.1087,-34.5688
MDL.N0000,Real Estate,0.010954,-0.1725,114,-6.0624,-1.5134,-25.7005,-30.62
PHAR.N0000,Real Estate,0.004158,1.9814,115,-1.1363,1.8263,-4.4803,-27.1236
CLND.N0000,Real Estate,0.004683,0.9512,115,-4.2773,-0.6813,-8.6963,-19.7464
EAST.N0000,Real Estate,0.009928,1.2095,115,-5.8797,-1.4302,-1.3753,-16.252
CSD.N0000,Real Estate,2.3e-05,1.0234,115,3.1925,-1.1269,-2.7557,-3.8306
PLR.N0000,Real Estate,0.003806,1.395,115,-1.7164,0.5769,-2.7683,4.2712
ASCO.N0000,Real Estate,0.005901,2.0261,115,-0.1359,0.2687,-2.973,7.1431
CTLD.N0000,Real Estate,-0.00107,1.6742,115,0.5401,-2.0535,-4.5846,7.3011
OSEA.N0000,Real Estate,0.00107,1.2497,115,-4.2533,1.6645,0.2236,8.8696
MHDL.N0000,Real Estate,1.9e-05,1.7185,115,1.9731,-1.8791,-0.9814,13.0237
COLO.N0000,Retailing,0.009011,0.7413,109,-8.3932,2.2117,-6.6418,-40.8196
SINS.N0000,Retailing,0.002359,1.7715,115,-0.0666,-0.0504,1.4728,-8.7136
CTBL.N0000,Retailing,0.002678,0.0825,115,-3.2518,-1.3616,-12.3688,-2.6204
EMER.N0000,Retailing,0.001578,0.8258,115,-5.1405,-1.2436,-5.3516,3.7133
RIL.N0000,Retailing,-0.000567,2.0465,115,-0.3065,3.1074,1.8606,3.9592
UML.N0000,Retailing,0.004497,1.3948,115,4.6388,1.1489,-4.5201,3.999
KPHL.N0000,Retailing,0.001994,0.2591,115,-6.3734,3.8663,0.2987,17.7474
CWM.N0000,Retailing,0.000528,0.0647,115,-3.8412,21.0865,13.6794,60.3979
HBS.N0000,Software & Services,0.0028,0.5146,115,-1.4992,0.173,-3.8002,1.6604
DIAL.N0000,Telecommunication Services,0.00311,0.4446,115,-3.0158,-2.1112,-4.5451,-1.0182
SLTL.N0000,Telecommunication Services,0.001042,0.7342,115,-3.0514,3.2423,-1.432,3.9902
PKME.N0000,Transportation,0.005406,0.3172,115,-4.9489,0.3851,-6.5597,-10.8392
CWL.N0000,Transportation,0.002865,0.3113,114,-6.1914,-2.5784,-3.4081,-9.3388
VLL.N0000,Utilities,0.004722,0.552,115,-3.9512,-1.3958,-9.6799,-27.9613
LPL.X0000,Utilities,0.00469,-0.2102,114,-5.9999,-0.4219,-13.1512,-27.9361
LVEF.N0000,Utilities,0.002438,1.3247,115,-3.9369,-0.5404,-3.4212,-24.4467
LPL.N0000,Utilities,0.002368,0.4701,114,-1.588,-0.342,-2.5127,-13.9852
VLL.X0000,Utilities,0.002554,1.3934,115,-3.7319,-2.1803,-3.1846,-11.2704
PAP.N0000,Utilities,0.001729,1.2167,115,4.75,-1.5991,-4.1958,-5.1254
HPFL.N0000,Utilities,-0.00063,0.8147,115,0.5261,0.58,0.8405,-0.958
VPEL.N0000,Utilities,-0.000968,1.0059,115,-0.6954,-1.4187,-2.5841,-0.9521
HPWR.N0000,Utilities,0.003652,0.5125,115,-1.8058,-1.1142,-3.7792,7.6458
