Sector,Trough Day,Trough CAR (%),End CAR Day+30 (%),Recovered by Day+30
Capital Goods,0,0.0446,1.0753,True
Household Products,2,-6.0366,-4.8319,False
Others,4,-13.8296,-13.6546,False
Food & Beverage,5,-2.6329,-0.9335,False
Energy,15,-12.1527,-11.7365,False
Consumer Durables,18,-4.2889,-1.0222,False
Software & Services,20,-8.6,3.1597,True
Real Estate,21,-11.208,-4.3062,False
Banks,23,-3.1511,-1.5348,False
Telecommunication Services,23,-4.2862,4.5196,True
Healthcare Equipment,24,-4.5774,1.7939,True
Materials,25,-3.9105,-2.5693,False
Automobiles,26,-4.1497,-1.5127,False
Retailing,26,-17.3485,-12.521,False
Food Retailing,26,-10.9389,-4.117,False
Commercial Services,26,-11.5993,-3.0426,False
Diversified Financials,29,-9.0213,-8.1965,False
Transportation,30,-18.502,-18.502,False
Insurance,30,-11.5653,-11.5653,False
Consumer Services,30,-11.0069,-11.0069,False
Utilities,30,-9.8987,-9.8987,False
