Sector,"CAR(-5,-1)","CAR(0,0)","CAR(0,+5)","CAR(-5,+30)"
Automobiles,1.4,-0.06,-0.88,-0.11
Banks,-0.43,-0.02,-0.6,-2.02
Capital Goods,-0.83,0.04,1.99,0.28
Commercial Services,3.7,-2.35,-3.87,3.19
Consumer Durables,-2.06,-0.16,-1.94,-3.07
Consumer Services,0.52,-0.42,-4.43,-10.19
Diversified Financials,-1.45,-0.24,-4.1,-9.55
Energy,-6.19,-1.16,-9.48,-17.93
Food & Beverage,-0.33,0.15,-2.61,-1.27
Food Retailing,0.21,1.07,1.67,-3.15
Healthcare Equipment,-0.11,-0.34,1.77,0.84
Household Products,0.48,-0.12,-1.89,-4.36
Insurance,-1.17,-1.01,-5.51,-13.09
Materials,-2.51,-0.23,0.03,-4.9
Others,0.57,-2.27,-3.98,-13.08
Real Estate,-1.09,-0.32,-3.71,-4.69
Retailing,-4.1,1.74,-3.33,-16.58
Software & Services,-1.5,0.17,-3.8,1.66
Telecommunication Services,-3.03,0.57,-2.99,1.49
Transportation,-6.41,-1.04,-3.44,-24.69
Utilities,-1.83,-0.94,-4.63,-11.67
