Sector,"CAR(-5,-1)","CAR(0,0)","CAR(0,+5)","CAR(-5,+30)"
Banks,-1.91,0.09,-1.17,-6.07
Capital Goods,-1.7,0.12,-0.22,-2.97
Commercial Services,4.66,-0.73,1.87,0.27
Consumer Durables,0.24,-0.25,0.65,-2.28
Consumer Services,0.9,-0.33,-3.83,-3.97
Diversified Financials,-0.96,-0.34,-2.44,-6.69
Food & Beverage,-0.87,0.19,-1.76,-4.18
Healthcare Equipment,-0.89,0.58,1.89,-0.66
Insurance,-0.97,-0.7,-4.71,-6.36
Materials,-1.55,-0.43,0.43,-1.75
Real Estate,-2.36,-0.18,-2.57,-9.23
Retailing,-0.92,2.25,-2.13,-2.5
Utilities,0.77,-0.86,-1.64,-6.69
