Window,Level,Name,N,Mean_CAR(%),Std_Dev(%),t-statistic,p-value,Significant_at_5%
"CAR(-5,+30)",Sector,Consumer Durables,8,-2.28,10.38,-0.62,0.5549,False
"CAR(-5,+30)",Sector,Banks,13,24.37,70.38,1.248,0.2358,False
"CAR(-5,+30)",Sector,Capital Goods,29,1.17,22.98,0.273,0.7867,False
"CAR(-5,+30)",Sector,Materials,21,-12.98,83.22,-0.715,0.4831,False
"CAR(-5,+30)",Sector,Food & Beverage,43,2.42,31.64,0.501,0.6193,False
"CAR(-5,+30)",Sector,Consumer Services,32,-0.56,21.93,-0.143,0.8871,False
"CAR(-5,+30)",Sector,Healthcare Equipment,8,-0.31,7.93,-0.112,0.9142,False
"CAR(-5,+30)",Sector,Real Estate,17,-9.42,15.22,-2.552,0.0213,True
"CAR(-5,+30)",Sector,Retailing,14,-18.33,61.12,-1.122,0.2821,False
"CAR(-5,+30)",Sector,Household Products,2,-0.61,0.86,-1.0,0.5,False
"CAR(-5,+30)",Sector,Commercial Services,7,-2.98,17.86,-0.441,0.6746,False
"CAR(-5,+30)",Sector,Food Retailing,3,78.41,135.96,0.999,0.4231,False
"CAR(-5,+30)",Sector,Transportation,3,-10.03,14.99,-1.16,0.366,False
"CAR(-5,+30)",Sector,Telecommunication Services,2,-5.34,4.42,-1.711,0.3368,False
"CAR(-5,+30)",Sector,Software & Services,1,-7.41,,,,False
"CAR(-5,+30)",Sector,Utilities,7,34.73,71.1,1.292,0.2437,False
"CAR(-5,+30)",Sector,Energy,2,-52.38,71.13,-1.041,0.4871,False
"CAR(-5,+30)",Sector,Automobiles,1,2.43,,,,False
"CAR(-5,+30)",Market,ALL STOCKS,263,0.22,60.47,0.059,0.9527,False
