Window,Level,Name,N,Mean_CAR(%),Std_Dev(%),t-statistic,p-value,Significant_at_5%
"CAR(-5,-1)",Sector,Diversified Financials,33,-1.16,2.93,-2.269,0.0301,True
"CAR(-5,-1)",Sector,Insurance,11,-0.97,2.3,-1.396,0.193,False
"CAR(-5,-1)",Sector,Consumer Durables,8,0.24,4.41,0.154,0.8819,False
"CAR(-5,-1)",Sector,Banks,10,-1.65,2.77,-1.888,0.0917,False
"CAR(-5,-1)",Sector,Capital Goods,27,-1.7,4.07,-2.169,0.0394,True
"CAR(-5,-1)",Sector,Food & Beverage,35,-0.62,3.47,-1.058,0.2975,False
"CAR(-5,-1)",Sector,Consumer Services,30,0.92,4.56,1.103,0.279,False
"CAR(-5,-1)",Sector,Materials,14,-1.36,3.1,-1.636,0.1258,False
"CAR(-5,-1)",Sector,Healthcare Equipment,6,-1.98,2.66,-1.825,0.1276,False
"CAR(-5,-1)",Sector,Real Estate,16,-2.36,5.75,-1.645,0.1207,False
"CAR(-5,-1)",Sector,Retailing,13,-1.25,5.8,-0.779,0.4509,False
"CAR(-5,-1)",Sector,Household Products,1,-0.79,,,,False
"CAR(-5,-1)",Sector,Commercial Services,4,-2.73,2.69,-2.03,0.1354,False
"CAR(-5,-1)",Sector,Food Retailing,1,-1.5,,,,False
"CAR(-5,-1)",Sector,Transportation,2,-5.9,2.17,-3.848,0.1618,False
"CAR(-5,-1)",Sector,Telecommunication Services,2,-3.53,0.61,-8.191,0.0773,False
"CAR(-5,-1)",Sector,Software & Services,1,-1.26,,,,False
"CAR(-5,-1)",Sector,Utilities,5,0.77,4.14,0.419,0.6969,False
"CAR(-5,-1)",Sector,Energy,1,-0.7,,,,False
"CAR(-5,-1)",Sector,Automobiles,1,1.42,,,,False
"CAR(-5,-1)",Market,ALL STOCKS,221,-0.98,3.94,-3.713,0.0003,True
"CAR(0,0)",Sector,Diversified Financials,33,-0.27,1.91,-0.804,0.4274,False
"CAR(0,0)",Sector,Insurance,11,-0.7,3.23,-0.72,0.4883,False
"CAR(0,0)",Sector,Consumer Durables,8,-0.25,2.53,-0.278,0.7888,False
"CAR(0,0)",Sector,Banks,10,0.03,0.87,0.126,0.9022,False
"CAR(0,0)",Sector,Capital Goods,27,0.12,1.75,0.352,0.7276,False
"CAR(0,0)",Sector,Food & Beverage,34,0.15,2.35,0.374,0.7109,False
"CAR(0,0)",Sector,Consumer Services,30,-0.22,2.36,-0.502,0.6197,False
"CAR(0,0)",Sector,Materials,14,-0.53,1.11,-1.781,0.0982,False
"CAR(0,0)",Sector,Healthcare Equipment,6,0.77,2.02,0.937,0.3918,False
"CAR(0,0)",Sector,Real Estate,15,-0.18,1.85,-0.377,0.7117,False
"CAR(0,0)",Sector,Retailing,13,2.75,6.67,1.488,0.1626,False
"CAR(0,0)",Sector,Household Products,1,-0.08,,,,False
"CAR(0,0)",Sector,Commercial Services,4,0.65,4.3,0.301,0.783,False
"CAR(0,0)",Sector,Food Retailing,1,-0.42,,,,False
"CAR(0,0)",Sector,Transportation,2,-1.23,1.99,-0.875,0.5424,False
"CAR(0,0)",Sector,Telecommunication Services,2,0.36,3.79,0.135,0.9148,False
"CAR(0,0)",Sector,Software & Services,1,0.06,,,,False
"CAR(0,0)",Sector,Utilities,5,-0.86,0.91,-2.125,0.1008,False
"CAR(0,0)",Sector,Energy,1,0.05,,,,False
"CAR(0,0)",Sector,Automobiles,1,0.16,,,,False
"CAR(0,0)",Market,ALL STOCKS,219,0.05,2.64,0.264,0.7921,False
"CAR(0,+5)",Sector,Diversified Financials,33,-2.38,4.29,-3.191,0.0032,True
"CAR(0,+5)",Sector,Insurance,11,-4.71,7.07,-2.212,0.0514,False
"CAR(0,+5)",Sector,Consumer Durables,8,0.65,3.14,0.588,0.5753,False
"CAR(0,+5)",Sector,Banks,10,-0.76,3.78,-0.64,0.5382,False
"CAR(0,+5)",Sector,Capital Goods,27,-0.22,7.02,-0.162,0.8727,False
"CAR(0,+5)",Sector,Food & Beverage,35,-2.45,5.08,-2.848,0.0074,True
"CAR(0,+5)",Sector,Consumer Services,30,-3.87,6.01,-3.523,0.0014,True
"CAR(0,+5)",Sector,Materials,14,1.82,4.25,1.606,0.1322,False
"CAR(0,+5)",Sector,Healthcare Equipment,6,0.7,5.92,0.29,0.7832,False
"CAR(0,+5)",Sector,Real Estate,16,-2.57,7.34,-1.4,0.1819,False
"CAR(0,+5)",Sector,Retailing,13,-2.56,7.45,-1.241,0.2383,False
"CAR(0,+5)",Sector,Household Products,1,-1.66,,,,False
"CAR(0,+5)",Sector,Commercial Services,4,2.12,4.51,0.94,0.4166,False
